timestamp,Terminal 1 (min),Terminal 3 (min)
2025-07-15T18:04:01.846284,1,0
2025-07-15T21:51:02.056675,0,0
2025-07-15T21:55:11.130426,0,0
2025-07-15T22:40:42.406991,0,0
2025-07-15T22:53:56.564603,0,0
2025-07-15T23:09:24.683818,0,0
2025-07-15T23:28:37.213362,0,0
2025-07-15T23:40:39.850968,0,0
2025-07-15T23:53:09.337904,0,0
2025-07-16T00:52:50.590585,0,0
2025-07-16T02:49:48.192973,1,0
2025-07-16T03:50:45.844126,1,0
2025-07-16T04:29:29.188264,2,0
2025-07-16T04:58:05.436435,3,0
2025-07-16T05:22:41.779179,1,1
2025-07-16T05:46:51.751812,1,1
2025-07-16T05:56:34.022552,1,1
2025-07-16T06:20:27.308833,1,0
2025-07-16T06:51:25.097371,1,1
2025-07-16T07:13:28.532140,1,3
2025-07-16T07:34:06.986655,2,1
2025-07-16T07:46:41.899819,2,1
2025-07-16T07:53:38.376166,1,2
2025-07-16T08:14:47.109892,0,3
2025-07-16T08:44:31.605674,1,1
2025-07-16T09:00:30.873767,1,1
2025-07-16T09:35:27.063596,1,1
2025-07-16T09:50:48.512145,1,0
2025-07-16T10:11:29.620572,1,1
2025-07-16T10:42:14.663831,1,0
2025-07-16T10:55:58.002037,1,1
2025-07-16T11:11:01.781921,2,1
2025-07-16T11:30:53.571101,1,1
2025-07-16T11:45:00.709315,1,1
2025-07-16T11:51:22.048620,1,0
2025-07-16T12:20:06.895367,1,0
2025-07-16T13:06:31.429287,2,1
2025-07-16T13:46:58.808437,1,1
2025-07-16T13:59:31.616427,1,0
2025-07-16T14:19:15.816090,1,2
2025-07-16T14:41:21.449492,3,1
2025-07-16T14:55:40.440957,2,1
2025-07-16T15:12:36.474732,3,0
2025-07-16T15:36:59.585555,1,5
2025-07-16T15:49:37.949192,2,1
2025-07-16T15:58:07.787090,2,1
2025-07-16T16:22:11.336466,1,3
2025-07-16T16:48:56.568316,1,2
2025-07-16T17:01:52.771039,1,5
2025-07-16T17:31:08.828912,1,5
2025-07-16T17:49:49.692435,1,1
2025-07-16T17:56:31.819067,1,1
2025-07-16T18:18:55.594566,2,1
2025-07-16T18:48:08.281244,1,2
2025-07-16T19:00:41.410462,1,2
2025-07-16T19:25:09.949197,1,1
2025-07-16T19:35:13.426066,1,0
2025-07-16T19:43:39.933278,1,0
2025-07-16T19:51:18.387751,0,0
2025-07-16T20:11:32.059866,0,0
2025-07-16T20:36:27.796182,0,0
2025-07-16T20:49:40.623145,0,0
2025-07-16T20:57:09.744242,0,0
2025-07-16T21:14:38.637554,0,0
2025-07-16T21:32:32.832571,0,0
2025-07-16T21:46:15.398353,0,0
2025-07-16T21:54:12.368008,0,0
2025-07-16T22:10:17.046252,0,0
2025-07-16T22:38:20.226324,0,0
2025-07-16T22:51:53.047742,0,0
2025-07-16T23:10:20.038297,0,0
2025-07-16T23:31:37.687225,0,0
2025-07-16T23:43:17.917155,0,0
2025-07-16T23:51:15.575404,0,0
2025-07-16T23:57:14.200459,0,0
2025-07-17T01:13:18.633772,1,5
2025-07-17T03:04:23.583709,1,1
2025-07-17T04:01:27.472325,1,1
2025-07-17T04:40:39.084246,1,2
2025-07-17T05:01:42.986751,2,2
2025-07-17T05:29:18.710136,3,1
2025-07-17T05:50:35.498370,2,3
2025-07-17T05:56:38.425064,1,1
2025-07-17T06:19:54.304679,1,1
2025-07-17T06:49:51.392767,0,1
2025-07-17T07:01:52.189682,1,1
2025-07-17T07:26:54.977359,2,1
2025-07-17T07:40:51.712249,1,1
2025-07-17T07:49:48.053145,2,1
2025-07-17T07:55:42.806373,1,1
2025-07-17T08:15:39.867847,1,1
2025-07-17T08:44:26.695885,1,1
2025-07-17T08:59:07.132947,1,1
2025-07-17T09:23:21.163475,2,2
2025-07-17T09:42:11.608840,2,1
2025-07-17T09:53:08.446665,1,1
2025-07-17T09:58:50.977819,1,1
2025-07-17T10:43:59.354286,4,1
2025-07-17T10:54:59.891952,4,1
2025-07-17T11:09:04.348075,2,2
2025-07-17T11:28:06.366799,3,1
2025-07-17T11:39:17.545077,2,2
2025-07-17T11:47:28.586801,2,1
2025-07-17T11:53:36.838268,3,1
2025-07-17T11:59:11.489619,4,1
2025-07-17T12:40:00.089606,1,2
2025-07-17T13:22:43.404709,1,2
2025-07-17T13:50:52.216199,3,0
2025-07-17T13:59:54.177991,3,1
2025-07-17T14:18:46.839761,1,0
2025-07-17T14:41:32.446952,2,1
2025-07-17T14:53:28.998907,1,2
2025-07-17T14:59:22.922163,1,1
2025-07-17T15:21:49.453151,0,3
2025-07-17T15:40:57.729680,3,1
2025-07-17T15:52:35.326069,3,1
2025-07-17T15:58:25.112474,2,1
2025-07-17T16:22:15.611867,1,1
2025-07-17T16:47:29.543061,3,1
2025-07-17T16:59:44.965275,2,0
2025-07-17T17:19:09.202325,2,1
2025-07-17T17:39:12.860653,0,0
2025-07-17T17:49:47.561449,0,0
2025-07-17T17:55:49.233586,1,1
2025-07-17T18:16:07.575011,4,0
2025-07-17T18:47:23.349866,1,1
2025-07-17T19:00:38.681222,0,0
2025-07-17T19:19:13.984000,1,2
2025-07-17T19:31:26.729270,0,3
2025-07-17T19:41:34.529959,0,0
2025-07-17T19:48:15.113082,0,0
2025-07-17T19:54:07.905484,1,0
2025-07-17T20:00:03.861886,0,0
2025-07-17T20:23:59.902899,0,0
2025-07-17T20:40:56.617149,0,0
2025-07-17T20:52:28.253467,0,0
2025-07-17T20:58:28.057921,0,0
2025-07-17T21:16:28.530443,0,0
2025-07-17T21:32:43.239293,0,0
2025-07-17T21:44:19.764277,0,0
2025-07-17T21:50:57.465069,0,0
2025-07-17T21:56:53.054184,0,0
2025-07-17T22:13:23.288878,0,0
2025-07-17T22:35:50.544901,0,0
2025-07-17T22:49:21.946221,0,0
2025-07-17T22:55:52.223059,0,0
2025-07-17T23:11:59.274908,0,0
2025-07-17T23:31:06.297095,0,0
2025-07-17T23:43:11.948925,0,0
2025-07-17T23:50:54.254651,0,0
2025-07-17T23:56:44.803533,0,0
2025-07-18T01:06:07.094509,0,1
2025-07-18T03:03:44.495088,1,2
2025-07-18T04:03:31.983403,1,0
2025-07-18T04:47:10.229814,1,0
2025-07-18T05:14:08.069542,1,1
2025-07-18T05:43:23.108482,1,1
2025-07-18T05:54:51.464169,2,1
2025-07-18T06:13:59.114024,1,2
2025-07-18T06:49:24.068386,1,0
2025-07-18T07:02:38.681060,2,0
2025-07-18T07:28:54.724175,1,1
2025-07-18T07:43:30.434996,1,1
2025-07-18T07:53:04.469077,1,1
2025-07-18T07:58:51.738468,2,1
2025-07-18T08:25:06.673733,1,1
2025-07-18T08:47:57.331735,1,1
2025-07-18T09:01:02.681490,1,1
2025-07-18T09:28:32.177826,1,0
2025-07-18T09:46:26.040906,3,1
2025-07-18T09:56:00.309454,3,1
2025-07-18T10:12:56.449111,3,2
2025-07-18T10:39:30.579474,3,1
2025-07-18T10:53:48.576956,4,1
2025-07-18T10:59:45.948439,1,1
2025-07-18T11:18:01.886786,2,1
2025-07-18T11:31:33.514374,1,2
2025-07-18T11:43:38.524625,2,1
2025-07-18T11:51:28.231381,2,2
2025-07-18T11:57:25.867090,2,2
2025-07-18T12:30:13.004446,2,1
2025-07-18T13:11:43.317905,1,1
2025-07-18T13:48:37.041882,1,0
2025-07-18T13:59:22.560729,0,0
2025-07-18T14:19:27.485897,1,1
2025-07-18T14:41:17.915003,2,1
2025-07-18T14:54:15.184450,3,1
2025-07-18T15:00:12.533330,2,1
2025-07-18T15:23:09.734284,2,0
2025-07-18T15:40:23.665906,3,2
2025-07-18T15:53:25.750755,2,3
